"name","x","y"
"G1-1",0,0
"G1-2",15,0
"G1-3",30,0
"G1-4",45,0
"G1-5",60,0
"G1-6",75,0
"G1-7",90,0
"G1-8",105,0
"G1-9",120,0
"G1-10",135,0
"G1-11",150,0
"G1-12",165,0
"G1-13",180,0
"G1-14",195,0
"G1-15",210,0
"G1-16",225,0
"G1-17",240,0
"G1-18",255,0
"G1-19",270,0
"G1-20",285,0
"G2-1",0,15
"G2-2",15,15
"G2-3",30,15
"G2-4",45,15
"G2-5",60,15
"G2-6",75,15
"G2-7",90,15
"G2-8",105,15
"G2-9",120,15
"G2-10",135,15
"G2-11",150,15
"G2-12",165,15
"G2-13",180,15
"G2-14",195,15
"G2-15",210,15
"G2-16",225,15
"G2-17",240,15
"G2-18",255,15
"G2-19",270,15
"G2-20",285,15
"G3-1",0,30
"G3-2",15,30
"G3-3",30,30
"G3-4",45,30
"G3-5",60,30
"G3-6",75,30
"G3-7",90,30
"G3-8",105,30
"G3-9",120,30
"G3-10",135,30
"G3-11",150,30
"G3-12",165,30
"G3-13",180,30
"G3-14",195,30
"G3-15",210,30
"G3-16",225,30
"G3-17",240,30
"G3-18",255,30
"G3-19",270,30
"G3-20",285,30
"G4-1",0,45
"G4-2",15,45
"G4-3",30,45
"G4-4",45,45
"G4-5",60,45
"G4-6",75,45
"G4-7",90,45
"G4-8",105,45
"G4-9",120,45
"G4-10",135,45
"G4-11",150,45
"G4-12",165,45
"G4-13",180,45
"G4-14",195,45
"G4-15",210,45
"G4-16",225,45
"G4-17",240,45
"G4-18",255,45
"G4-19",270,45
"G4-20",285,45
"G5-1",0,60
"G5-2",15,60
"G5-3",30,60
"G5-4",45,60
"G5-5",60,60
"G5-6",75,60
"G5-7",90,60
"G5-8",105,60
"G5-9",120,60
"G5-10",135,60
"G5-11",150,60
"G5-12",165,60
"G5-13",180,60
"G5-14",195,60
"G5-15",210,60
"G5-16",225,60
"G5-17",240,60
"G5-18",255,60
"G5-19",270,60
"G5-20",285,60
"G6-1",0,75
"G6-2",15,75
"G6-3",30,75
"G6-4",45,75
"G6-5",60,75
"G6-6",75,75
"G6-7",90,75
"G6-8",105,75
"G6-9",120,75
"G6-10",135,75
"G6-11",150,75
"G6-12",165,75
"G6-13",180,75
"G6-14",195,75
"G6-15",210,75
"G6-16",225,75
"G6-17",240,75
"G6-18",255,75
"G6-19",270,75
"G6-20",285,75
"G7-1",0,90
"G7-2",15,90
"G7-3",30,90
"G7-4",45,90
"G7-5",60,90
"G7-6",75,90
"G7-7",90,90
"G7-8",105,90
"G7-9",120,90
"G7-10",135,90
"G7-11",150,90
"G7-12",165,90
"G7-13",180,90
"G7-14",195,90
"G7-15",210,90
"G7-16",225,90
"G7-17",240,90
"G7-18",255,90
"G7-19",270,90
"G7-20",285,90
"G8-1",0,105
"G8-2",15,105
"G8-3",30,105
"G8-4",45,105
"G8-5",60,105
"G8-6",75,105
"G8-7",90,105
"G8-8",105,105
"G8-9",120,105
"G8-10",135,105
"G8-11",150,105
"G8-12",165,105
"G8-13",180,105
"G8-14",195,105
"G8-15",210,105
"G8-16",225,105
"G8-17",240,105
"G8-18",255,105
"G8-19",270,105
"G8-20",285,105
"G9-1",0,120
"G9-2",15,120
"G9-3",30,120
"G9-4",45,120
"G9-5",60,120
"G9-6",75,120
"G9-7",90,120
"G9-8",105,120
"G9-9",120,120
"G9-10",135,120
"G9-11",150,120
"G9-12",165,120
"G9-13",180,120
"G9-14",195,120
"G9-15",210,120
"G9-16",225,120
"G9-17",240,120
"G9-18",255,120
"G9-19",270,120
"G9-20",285,120
"G10-1",0,135
"G10-2",15,135
"G10-3",30,135
"G10-4",45,135
"G10-5",60,135
"G10-6",75,135
"G10-7",90,135
"G10-8",105,135
"G10-9",120,135
"G10-10",135,135
"G10-11",150,135
"G10-12",165,135
"G10-13",180,135
"G10-14",195,135
"G10-15",210,135
"G10-16",225,135
"G10-17",240,135
"G10-18",255,135
"G10-19",270,135
"G10-20",285,135
"G11-1",0,150
"G11-2",15,150
"G11-3",30,150
"G11-4",45,150
"G11-5",60,150
"G11-6",75,150
"G11-7",90,150
"G11-8",105,150
