"name","lat","lng"
"C3-9",50.212,-5.0312
"C4-9",50.395,-5.0312
"C4-10",50.395,-4.7188
"C4-13",50.395,-3.7813
"C5-10",50.577,-4.7188
"C5-11",50.577,-4.4063
"C5-12",50.577,-4.0938
"C5-13",50.577,-3.7813
"C5-14",50.577,-3.4688
"C6-11",50.76,-4.4063
"C6-12",50.76,-4.0938
"C6-13",50.76,-3.7813
"C6-14",50.76,-3.4688
"C6-15",50.76,-3.1563
"C6-18",50.76,-2.2188
"C6-19",50.76,-1.9063
"C6-21",50.76,-1.2813
"C6-22",50.76,-0.96875
"C7-12",50.942,-4.0938
"C7-13",50.942,-3.7813
"C7-14",50.942,-3.4688
"C7-15",50.942,-3.1563
"C7-16",50.942,-2.8438
"C7-17",50.942,-2.5313
"C7-18",50.942,-2.2188
"C7-19",50.942,-1.9063
"C7-20",50.942,-1.5938
"C7-21",50.942,-1.2813
"C7-22",50.942,-0.96875
"C7-23",50.942,-0.65625
"C7-24",50.942,-0.34375
"C7-25",50.942,-0.03125
"C7-26",50.942,0.28125
"C7-27",50.942,0.59375
"C8-12",51.125,-4.0938
"C8-13",51.125,-3.7813
"C8-14",51.125,-3.4688
"C8-15",51.125,-3.1563
"C8-16",51.125,-2.8438
"C8-17",51.125,-2.5313
"C8-18",51.125,-2.2188
"C8-19",51.125,-1.9063
"C8-20",51.125,-1.5938
"C8-21",51.125,-1.2813
"C8-22",51.125,-0.96875
"C8-23",51.125,-0.65625
"C8-24",51.125,-0.34375
"C8-25",51.125,-0.03125
"C8-26",51.125,0.28125
"C8-27",51.125,0.59375
"C8-28",51.125,0.90625
"C9-13",51.307,-3.7813
"C9-14",51.307,-3.4688
"C9-16",51.307,-2.8438
"C9-17",51.307,-2.5313
"C9-18",51.307,-2.2188
"C9-19",51.307,-1.9063
"C9-20",51.307,-1.5938
"C9-21",51.307,-1.2813
"C9-22",51.307,-0.96875
"C9-23",51.307,-0.65625
"C9-24",51.307,-0.34375
"C9-25",51.307,-0.03125
"C9-26",51.307,0.28125
"C9-27",51.307,0.59375
"C9-28",51.307,0.90625
"C9-29",51.307,1.2188
"C9-30",51.307,1.5313
"C10-15",51.49,-3.1563
"C10-16",51.49,-2.8438
"C10-17",51.49,-2.5313
"C10-18",51.49,-2.2188
"C10-19",51.49,-1.9063
"C10-20",51.49,-1.5938
"C10-21",51.49,-1.2813
"C10-22",51.49,-0.96875
"C10-23",51.49,-0.65625
"C10-24",51.49,-0.34375
"C10-25",51.49,-0.03125
"C10-26",51.49,0.28125
"C10-27",51.49,0.59375
"C10-28",51.49,0.90625
"C11-12",51.672,-4.0938
"C11-14",51.672,-3.4688
"C11-15",51.672,-3.1563
"C11-16",51.672,-2.8438
"C11-17",51.672,-2.5313
"C11-18",51.672,-2.2188
"C11-19",51.672,-1.9063
"C11-20",51.672,-1.5938
"C11-21",51.672,-1.2813
"C11-22",51.672,-0.96875
"C11-23",51.672,-0.65625
"C11-24",51.672,-0.34375
"C11-25",51.672,-0.03125
"C11-26",51.672,0.28125
"C11-27",51.672,0.59375
"C11-28",51.672,0.90625
"C12-10",51.855,-4.7188
"C12-11",51.855,-4.4063
"C12-12",51.855,-4.0938
"C12-13",51.855,-3.7813
"C12-14",51.855,-3.4688
"C12-15",51.855,-3.1563
"C12-16",51.855,-2.8438
"C12-17",51.855,-2.5313
"C12-18",51.855,-2.2188
"C12-19",51.855,-1.9063
"C12-20",51.855,-1.5938
"C12-21",51.855,-1.2813
"C12-22",51.855,-0.96875
"C12-23",51.855,-0.65625
"C12-24",51.855,-0.34375
"C12-25",51.855,-0.03125
"C12-26",51.855,0.28125
"C12-27",51.855,0.59375
"C12-28",51.855,0.90625
"C13-9",52.037,-5.0312
"C13-10",52.037,-4.7188
"C13-11",52.037,-4.4063
"C13-12",52.037,-4.0938
"C13-13",52.037,-3.7813
"C13-14",52.037,-3.4688
"C13-15",52.037,-3.1563
"C13-16",52.037,-2.8438
"C13-17",52.037,-2.5313
"C13-18",52.037,-2.2188
"C13-19",52.037,-1.9063
"C13-20",52.037,-1.5938
"C13-21",52.037,-1.2813
"C13-22",52.037,-0.96875
"C13-23",52.037,-0.65625
"C13-24",52.037,-0.34375
"C13-25",52.037,-0.03125
"C13-26",52.037,0.28125
"C13-27",52.037,0.59375
"C13-28",52.037,0.90625
"C13-29",52.037,1.2188
"C14-11",52.219,-4.4063
"C14-12",52.219,-4.0938
"C14-13",52.219,-3.7813
"C14-14",52.219,-3.4688
"C14-15",52.219,-3.1563
"C14-16",52.219,-2.8438
"C14-17",52.219,-2.5313
"C14-18",52.219,-2.2188
"C14-19",52.219,-1.9063
"C14-20",52.219,-1.5938
"C14-21",52.219,-1.2813
"C14-22",52.219,-0.96875
"C14-23",52.219,-0.65625
"C14-24",52.219,-0.34375
"C14-25",52.219,-0.03125
"C14-26",52.219,0.28125
"C14-27",52.219,0.59375
"C14-28",52.219,0.90625
"C14-29",52.219,1.2188
"C14-30",52.219,1.5313
"C15-13",52.402,-3.7813
"C15-14",52.402,-3.4688
"C15-15",52.402,-3.1563
"C15-16",52.402,-2.8438
"C15-17",52.402,-2.5313
"C15-18",52.402,-2.2188
"C15-19",52.402,-1.9063
"C15-20",52.402,-1.5938
"C15-21",52.402,-1.2813
"C15-22",52.402,-0.96875
"C15-23",52.402,-0.65625
"C15-24",52.402,-0.34375
"C15-25",52.402,-0.03125
"C15-26",52.402,0.28125
"C15-27",52.402,0.59375
"C15-28",52.402,0.90625
"C15-29",52.402,1.2188
"C15-30",52.402,1.5313
"C16-13",52.584,-3.7813
"C16-14",52.584,-3.4688
"C16-15",52.584,-3.1563
"C16-16",52.584,-2.8438
"C16-17",52.584,-2.5313
"C16-18",52.584,-2.2188
"C16-19",52.584,-1.9063
"C16-20",52.584,-1.5938
"C16-21",52.584,-1.2813
"C16-22",52.584,-0.96875
"C16-23",52.584,-0.65625
"C16-24",52.584,-0.34375
"C16-25",52.584,-0.03125
"C16-26",52.584,0.28125
"C16-27",52.584,0.59375
"C16-28",52.584,0.90625
"C16-29",52.584,1.2188
"C16-30",52.584,1.5313
"C16-31",52.584,1.8438
"C17-13",52.767,-3.7813
"C17-14",52.767,-3.4688
"C17-15",52.767,-3.1563
"C17-16",52.767,-2.8438
"C17-17",52.767,-2.5313
"C17-18",52.767,-2.2188
"C17-19",52.767,-1.9063
"C17-20",52.767,-1.5938
"C17-21",52.767,-1.2813
"C17-22",52.767,-0.96875
"C17-23",52.767,-0.65625
"C17-24",52.767,-0.34375
"C17-25",52.767,-0.03125
