"DS","Location","Population"
"S","London",11120000
"I","London",0
"R","London",0
"S","Birmingham",1137100
"I","Birmingham",0
"R","Birmingham",0
"S","Leeds",789194
"I","Leeds",0
"R","Leeds",0
"S","Glasgow",626410
"I","Glasgow",0
"R","Glasgow",0
"S","Bristol",567111
"I","Bristol",0
"R","Bristol",0
"S","Manchester",547627
"I","Manchester",0
"R","Manchester",0
"S","Sheffield",518090
"I","Sheffield",0
"R","Sheffield",0
"S","Liverpool",513441
"I","Liverpool",0
"R","Liverpool",0
"S","Edinburgh",488050
"I","Edinburgh",0
"R","Edinburgh",0
"S","Leicester",464395
"I","Leicester",0
"R","Leicester",0
"S","Coventry",362690
"I","Coventry",0
"R","Coventry",0
"S","Caerdydd",361469
"I","Caerdydd",0
"R","Caerdydd",0
"S","Belfast",333871
"I","Belfast",0
"R","Belfast",0
"S","Newcastle",300196
"I","Newcastle",0
"R","Newcastle",0
"S","Bradford",293277
"I","Bradford",0
"R","Bradford",0
"S","Nottingham",289301
"I","Nottingham",0
"R","Nottingham",0
"S","Ipswich",290000
"I","Ipswich",0
"R","Ipswich",0
"S","Bolton",285372
"I","Bolton",0
"R","Bolton",0
"S","Sunderland",277417
"I","Sunderland",0
"R","Sunderland",0
"S","Southampton",271173
"I","Southampton",0
"R","Southampton",0
"S","Plymouth",267918
"I","Plymouth",0
"R","Plymouth",0
"S","Westminster",255324
"I","Westminster",0
"R","Westminster",0
"S","Kingston-upon-Hull",260200
"I","Kingston-upon-Hull",0
"R","Kingston-upon-Hull",0
"S","Derby",255394
"I","Derby",0
"R","Derby",0
"S","Wolverhampton",250970
"I","Wolverhampton",0
"R","Wolverhampton",0
"S","Stoke-on-Trent",249008
"I","Stoke-on-Trent",0
"R","Stoke-on-Trent",0
"S","Portsmouth",248440
"I","Portsmouth",0
"R","Portsmouth",0
"S","Barnsley",245199
"I","Barnsley",0
"R","Barnsley",0
"S","Abertawe",245508
"I","Abertawe",0
"R","Abertawe",0
"S","Swindon",222193
"I","Swindon",0
"R","Swindon",0
"S","Luton",213052
"I","Luton",0
"R","Luton",0
"S","Northampton",212100
"I","Northampton",0
"R","Northampton",0
"S","Solihull",206674
"I","Solihull",0
"R","Solihull",0
"S","Milton-Keynes",207057
"I","Milton-Keynes",0
"R","Milton-Keynes",0
"S","Aberdeen",200680
"I","Aberdeen",0
"R","Aberdeen",0
"S","Norwich",195971
"I","Norwich",0
"R","Norwich",0
"S","Peterborough",194000
"I","Peterborough",0
"R","Peterborough",0
"S","Basildon",185900
"I","Basildon",0
"R","Basildon",0
"S","Bournemouth",187503
"I","Bournemouth",0
"R","Bournemouth",0
"S","York",181131
"I","York",0
"R","York",0
"S","Warrington",165456
"I","Warrington",0
"R","Warrington",0
"S","Huddersfield",162949
"I","Huddersfield",0
"R","Huddersfield",0
"S","Reading",162666
"I","Reading",0
"R","Reading",0
"S","Southend",160257
"I","Southend",0
"R","Southend",0
"S","Oxford",152000
"I","Oxford",0
"R","Oxford",0
"S","Gloucester",145563
"I","Gloucester",0
"R","Gloucester",0
"S","West-Bromwich",146386
"I","West-Bromwich",0
"R","West-Bromwich",0
"S","Dundee",148280
"I","Dundee",0
"R","Dundee",0
"S","Poole",144800
"I","Poole",0
"R","Poole",0
"S","Newport",145700
"I","Newport",0
"R","Newport",0
"S","Birkenhead",142968
"I","Birkenhead",0
"R","Birkenhead",0
"S","Blackpool",139305
"I","Blackpool",0
"R","Blackpool",0
"S","Telford",142723
"I","Telford",0
"R","Telford",0
"S","Preston",141801
"I","Preston",0
"R","Preston",0
"S","Middlesbrough",140545
"I","Middlesbrough",0
"R","Middlesbrough",0
"S","Sale",134022
"I","Sale",0
"R","Sale",0
"S","Brighton",134293
"I","Brighton",0
"R","Brighton",0
"S","High-Wycombe",120256
"I","High-Wycombe",0
"R","High-Wycombe",0
"S","Cambridge",123867
"I","Cambridge",0
"R","Cambridge",0
"S","Exeter",124180
"I","Exeter",0
"R","Exeter",0
"S","Colchester",121859
"I","Colchester",0
"R","Colchester",0
"S","Gateshead",120046
"I","Gateshead",0
"R","Gateshead",0
"S","Blackburn",117963
"I","Blackburn",0
"R","Blackburn",0
"S","Slough",119070
"I","Slough",0
"R","Slough",0
"S","Chelmsford",115369
"I","Chelmsford",0
"R","Chelmsford",0
"S","Cheltenham",116447
"I","Cheltenham",0
"R","Cheltenham",0
"S","Rochdale",110194
"I","Rochdale",0
"R","Rochdale",0
"S","Rotherham",109691
"I","Rotherham",0
"R","Rotherham",0
"S","Doncaster",109805
"I","Doncaster",0
"R","Doncaster",0
"S","Maidstone",107627
"I","Maidstone",0
"R","Maidstone",0
"S","Basingstoke",107355
"I","Basingstoke",0
"R","Basingstoke",0
"S","Worthing",109120
"I","Worthing",0
"R","Worthing",0
"S","Crawley",106597
"I","Crawley",0
"R","Crawley",0
"S","Salford",103886
"I","Salford",0
"R","Salford",0
"S","Saint-Helens",102629
"I","Saint-Helens",0
"R","Saint-Helens",0
"S","Worcester",101891
"I","Worcester",0
"R","Worcester",0
"S","Gillingham",104157
"I","Gillingham",0
"R","Gillingham",0
"S","Eastbourne",101547
"I","Eastbourne",0
"R","Eastbourne",0
"S","Wigan",103608
"I","Wigan",0
"R","Wigan",0
"S","Hove",91900
"I","Hove",0
"R","Hove",0
"S","Lincoln",97541
"I","Lincoln",0
"R","Lincoln",0
"S","Rayleigh",95580
"I","Rayleigh",0
"R","Rayleigh",0
"S","Hemel-Hempstead",94932
"I","Hemel-Hempstead",0
"R","Hemel-Hempstead",0
"S","Bath",94782
"I","Bath",0
"R","Bath",0
"S","Darlington",92363
"I","Darlington",0
"R","Darlington",0
"S","Wimbledon",92765
"I","Wimbledon",0
"R","Wimbledon",0
"S","Watford",90301
"I","Watford",0
"R","Watford",0
"S","Hastings",91053
"I","Hastings",0
"R","Hastings",0
"S","Nuneaton",86552
"I","Nuneaton",0
"R","Nuneaton",0
"S","Stevenage",89663
"I","Stevenage",0
"R","Stevenage",0
"S","Hartlepool",88855
"I","Hartlepool",0
"R","Hartlepool",0
"S","Chester",87507
"I","Chester",0
"R","Chester",0
"S","Aylesbury",83407
"I","Aylesbury",0
"R","Aylesbury",0
"S","Wakefield",99251
"I","Wakefield",0
"R","Wakefield",0
"S","Oldham",96555
"I","Oldham",0
"R","Oldham",0
"S","Bedford",92407
"I","Bedford",0
"R","Bedford",0
"S","Southport",91703
"I","Southport",0
"R","Southport",0
"S","Halifax",88134
"I","Halifax",0
"R","Halifax",0
"S","Grimsby",88243
"I","Grimsby",0
"R","Grimsby",0
"S","Derry",85016
"I","Derry",0
"R","Derry",0
