"DS","Location","Population"
"S","Clackmannanshire",51400
"I","Clackmannanshire",0
"R","Clackmannanshire",0
"S","Dumfries-and-Galloway",148790
"I","Dumfries-and-Galloway",0
"R","Dumfries-and-Galloway",0
"S","East-Ayrshire",121840
"I","East-Ayrshire",0
"R","East-Ayrshire",0
"S","East-Lothian",105790
"I","East-Lothian",0
"R","East-Lothian",0
"S","East-Renfrewshire",95170
"I","East-Renfrewshire",0
"R","East-Renfrewshire",0
"S","Na-h-Eileanan-Siar",26830
"I","Na-h-Eileanan-Siar",0
"R","Na-h-Eileanan-Siar",0
"S","Falkirk",160340
"I","Falkirk",0
"R","Falkirk",0
"S","Highland",235540
"I","Highland",0
"R","Highland",0
"S","Inverclyde",78150
"I","Inverclyde",0
"R","Inverclyde",0
"S","Midlothian",91340
"I","Midlothian",0
"R","Midlothian",0
"S","Moray",95520
"I","Moray",0
"R","Moray",0
"S","North-Ayrshire",133586
"I","North-Ayrshire",0
"R","North-Ayrshire",0
"S","Orkney-Islands",22190
"I","Orkney-Islands",0
"R","Orkney-Islands",0
"S","Scottish-Borders",115270
"I","Scottish-Borders",0
"R","Scottish-Borders",0
"S","Shetland-Islands",22990
"I","Shetland-Islands",0
"R","Shetland-Islands",0
"S","South-Ayrshire",112550
"I","South-Ayrshire",0
"R","South-Ayrshire",0
"S","South-Lanarkshire",319020
"I","South-Lanarkshire",0
"R","South-Lanarkshire",0
"S","Stirling",94330
"I","Stirling",0
"R","Stirling",0
"S","Aberdeen-City",227560
"I","Aberdeen-City",0
"R","Aberdeen-City",0
"S","Aberdeenshire",261470
"I","Aberdeenshire",0
"R","Aberdeenshire",0
"S","Argyll-and-Bute",86260
"I","Argyll-and-Bute",0
"R","Argyll-and-Bute",0
"S","City-of-Edinburgh",518500
"I","City-of-Edinburgh",0
"R","City-of-Edinburgh",0
"S","Renfrewshire",177790
"I","Renfrewshire",0
"R","Renfrewshire",0
"S","West-Dunbartonshire",89130
"I","West-Dunbartonshire",0
"R","West-Dunbartonshire",0
"S","West-Lothian",182140
"I","West-Lothian",0
"R","West-Lothian",0
"S","Angus",116040
"I","Angus",0
"R","Angus",0
"S","Dundee-City",148750
"I","Dundee-City",0
"R","Dundee-City",0
"S","East-Dunbartonshire",108330
"I","East-Dunbartonshire",0
"R","East-Dunbartonshire",0
"S","Fife",371910
"I","Fife",0
"R","Fife",0
"S","Perth-and-Kinross",151290
"I","Perth-and-Kinross",0
"R","Perth-and-Kinross",0
"S","Glasgow-City",626410
"I","Glasgow-City",0
"R","Glasgow-City",0
"S","North-Lanarkshire",340180
"I","North-Lanarkshire",0
"R","North-Lanarkshire",0
