"l","l'",Value
"Tokyo","Jakarta","0.00856062"
"Tokyo","Delhi","0.00848653"
"Tokyo","Manila","0.0163928"
"Tokyo","Sao-Paulo","0.00269085"
"Tokyo","Seoul","0.0413606"
"Tokyo","Mumbai","0.00737302"
"Tokyo","Shanghai","0.0274933"
"Tokyo","Mexico-City","0.00440526"
"Tokyo","Guangzhou","0.0168944"
"Tokyo","Cairo","0.00519707"
"Tokyo","Beijing","0.0232599"
"Tokyo","New-York","0.00458668"
"Tokyo","Kolkata","0.00963225"
"Tokyo","Moscow","0.00663731"
"Tokyo","Bangkok","0.0107322"
"Tokyo","Dhaka","0.0101066"
"Tokyo","Buenos-Aires","0.0027156"
"Tokyo","Osaka","0.109766"
"Tokyo","Lagos","0.00369497"
"Tokyo","Istanbul","0.00555452"
"Tokyo","Karachi","0.00715675"
"Tokyo","Kinshasa","0.00372838"
"Tokyo","Shenzhen","0.0170561"
"Tokyo","Bangalore","0.00744153"
"Tokyo","Ho-Chi-Minh-City","0.0114077"
"Tokyo","Tehran","0.00647992"
"Tokyo","Los-Angeles","0.00565388"
"Tokyo","Rio-de-Janeiro","0.00268589"
"Tokyo","Chengdu","0.0146987"
"Tokyo","Baoding","0.0225071"
"Tokyo","Chennai","0.00772595"
"Tokyo","Lahore","0.008315"
"Tokyo","London","0.00520167"
"Tokyo","Paris","0.00511982"
"Tokyo","Tianjin","0.024102"
"Tokyo","Linyi","0.0251181"
"Tokyo","Shijiazhuang","0.0216828"
"Tokyo","Zhengzhou","0.0206818"
"Tokyo","Nanyang","0.0195228"
"Tokyo","Hyderabad","0.00784306"
"Tokyo","Wuhan","0.0201425"
"Tokyo","Handan","0.0215877"
"Tokyo","Nagoya","0.158674"
"Tokyo","Weifang","0.0262459"
"Tokyo","Lima","0.00321827"
"Tokyo","Zhoukou","0.0212413"
"Tokyo","Luanda","0.00359658"
"Tokyo","Ganzhou","0.0188366"
"Tokyo","Tongshan","0.0236999"
"Tokyo","Kuala-Lumpur","0.00930031"
"Tokyo","Chicago","0.00490899"
"Tokyo","Heze","0.0222268"
"Tokyo","Chongqing","0.0155107"
"Tokyo","Hanoi","0.0134282"
"Tokyo","Fuyang","0.0220448"
"Tokyo","Changsha","0.0185005"
"Tokyo","Dongguan","0.0171021"
"Tokyo","Jining","0.0233087"
"Tokyo","Jinan","0.02388"
"Tokyo","Pune","0.0074348"
"Tokyo","Foshan","0.0167855"
"Tokyo","Bogota","0.00348116"
"Tokyo","Ahmedabad","0.0075885"
"Tokyo","Nanjing","0.0246648"
"Tokyo","Changchun","0.0314337"
"Tokyo","Tangshan","0.0250464"
"Tokyo","Cangzhou","0.0237901"
"Tokyo","Dar-es-Salaam","0.00436906"
"Tokyo","Hefei","0.0230729"
"Tokyo","Hong-Kong","0.0170305"
"Tokyo","Shaoyang","0.0173508"
"Tokyo","Zhanjiang","0.0150434"
"Tokyo","Shangqiu","0.0222703"
"Tokyo","Nantong","0.0271843"
"Tokyo","Yancheng","0.0268267"
"Tokyo","Nanning","0.0147025"
"Tokyo","Hengyang","0.0178517"
"Tokyo","Zhumadian","0.0206051"
"Tokyo","Shenyang","0.0308791"
"Tokyo","Xingtai","0.021612"
"Tokyo","Xi'an","0.0175075"
"Tokyo","Santiago","0.00289388"
"Tokyo","Yantai","0.0292107"
"Tokyo","Riyadh","0.00571439"
"Tokyo","Luoyang","0.0197586"
"Tokyo","Kunming","0.0132534"
"Tokyo","Shangrao","0.0222085"
"Tokyo","Hangzhou","0.0253505"
"Tokyo","Bijie","0.0145732"
"Tokyo","Quanzhou","0.0208095"
"Tokyo","Miami","0.00415168"
"Tokyo","Wuxi","0.0262007"
"Tokyo","Huanggang","0.0205339"
"Tokyo","Maoming","0.0153833"
"Tokyo","Nanchong","0.015554"
"Tokyo","Zunyi","0.0153161"
"Tokyo","Qujing","0.0136956"
"Tokyo","Baghdad","0.00595275"
"Tokyo","Xinyang","0.0204238"
"Jakarta","Tokyo","0.00856062"
"Jakarta","Delhi","0.00987921"
"Jakarta","Manila","0.0176019"
"Jakarta","Sao-Paulo","0.00318911"
"Jakarta","Seoul","0.00935153"
"Jakarta","Mumbai","0.0106074"
"Jakarta","Shanghai","0.0111416"
"Jakarta","Mexico-City","0.00295936"
"Jakarta","Guangzhou","0.0147646"
"Jakarta","Cairo","0.0055335"
"Jakarta","Beijing","0.00948557"
"Jakarta","New-York","0.00308065"
"Jakarta","Kolkata","0.013054"
"Jakarta","Moscow","0.00534059"
"Jakarta","Bangkok","0.0210325"
"Jakarta","Dhaka","0.0130614"
"Jakarta","Buenos-Aires","0.0032746"
"Jakarta","Osaka","0.00908327"
"Jakarta","Lagos","0.00430524"
"Jakarta","Istanbul","0.00525964"
"Jakarta","Karachi","0.00897099"
"Jakarta","Kinshasa","0.00491438"
"Jakarta","Shenzhen","0.0149626"
"Jakarta","Bangalore","0.0127461"
"Jakarta","Ho-Chi-Minh-City","0.025721"
"Jakarta","Tehran","0.00669255"
"Jakarta","Los-Angeles","0.00345224"
"Jakarta","Rio-de-Janeiro","0.00323157"
"Jakarta","Chengdu","0.0120165"
"Jakarta","Baoding","0.00972499"
"Jakarta","Chennai","0.0135663"
"Jakarta","Lahore","0.00911839"
"Jakarta","London","0.00424859"
"Jakarta","Paris","0.00429705"
"Jakarta","Tianjin","0.00960516"
"Jakarta","Linyi","0.0104272"
"Jakarta","Shijiazhuang","0.00993118"
"Jakarta","Zhengzhou","0.0107278"
"Jakarta","Nanyang","0.0112322"
"Jakarta","Hyderabad","0.0121289"
"Jakarta","Wuhan","0.0118532"
"Jakarta","Handan","0.0102498"
"Jakarta","Nagoya","0.00889388"
"Jakarta","Weifang","0.0100175"
"Jakarta","Lima","0.0027796"
"Jakarta","Zhoukou","0.0109757"
"Jakarta","Luanda","0.00483288"
"Jakarta","Ganzhou","0.0134459"
"Jakarta","Tongshan","0.0106835"
"Jakarta","Kuala-Lumpur","0.0403962"
"Jakarta","Chicago","0.00315422"
"Jakarta","Heze","0.0105357"
"Jakarta","Chongqing","0.0124162"
"Jakarta","Hanoi","0.0162294"
"Jakarta","Fuyang","0.0111085"
"Jakarta","Changsha","0.0127142"
"Jakarta","Dongguan","0.0147526"
"Jakarta","Jining","0.010443"
"Jakarta","Jinan","0.0101345"
"Jakarta","Pune","0.0108843"
"Jakarta","Foshan","0.014827"
"Jakarta","Bogota","0.00251761"
"Jakarta","Ahmedabad","0.0100128"
"Jakarta","Nanjing","0.0111397"
"Jakarta","Changchun","0.00844681"
"Jakarta","Tangshan","0.00947189"
"Jakarta","Cangzhou","0.00979048"
"Jakarta","Dar-es-Salaam","0.00665961"
"Jakarta","Hefei","0.0112959"
"Jakarta","Hong-Kong","0.0150578"
"Jakarta","Shaoyang","0.0131463"
"Jakarta","Zhanjiang","0.0160121"
"Jakarta","Shangqiu","0.0107235"
"Jakarta","Nantong","0.0109875"
"Jakarta","Yancheng","0.0107023"
"Jakarta","Nanning","0.0152329"
"Jakarta","Hengyang","0.0132158"
"Jakarta","Zhumadian","0.011177"
"Jakarta","Shenyang","0.0088514"
"Jakarta","Xingtai","0.0101471"
"Jakarta","Xi'an","0.0109733"
"Jakarta","Santiago","0.00319554"
"Jakarta","Yantai","0.00975538"
"Jakarta","Riyadh","0.00675441"
"Jakarta","Luoyang","0.0107933"
"Jakarta","Kunming","0.0140669"
"Jakarta","Shangrao","0.0122436"
"Jakarta","Hangzhou","0.0115041"
"Jakarta","Bijie","0.0132253"
"Jakarta","Quanzhou","0.0133789"
"Jakarta","Miami","0.00281474"
"Jakarta","Wuxi","0.0111441"
"Jakarta","Huanggang","0.0118603"
"Jakarta","Maoming","0.0157166"
"Jakarta","Nanchong","0.0120004"
"Jakarta","Zunyi","0.0130832"
"Jakarta","Qujing","0.0139162"
"Jakarta","Baghdad","0.00628958"
"Jakarta","Xinyang","0.0114117"
"Delhi","Tokyo","0.00848653"
"Delhi","Jakarta","0.00987921"
"Delhi","Manila","0.0104045"
"Delhi","Sao-Paulo","0.00345308"
"Delhi","Seoul","0.0105604"
"Delhi","Mumbai","0.0415348"
"Delhi","Shanghai","0.0116397"
"Delhi","Mexico-City","0.00340084"
"Delhi","Guangzhou","0.0135372"
"Delhi","Cairo","0.0111642"
"Delhi","Beijing","0.0130673"
"Delhi","New-York","0.00423785"
"Delhi","Kolkata","0.0368738"
"Delhi","Moscow","0.0113944"
"Delhi","Bangkok","0.0168351"
"Delhi","Dhaka","0.0339296"
"Delhi","Buenos-Aires","0.0031558"
"Delhi","Osaka","0.00904944"
"Delhi","Lagos","0.00614469"
"Delhi","Istanbul","0.010869"
"Delhi","Karachi","0.0435673"
"Delhi","Kinshasa","0.00657646"
"Delhi","Shenzhen","0.0131879"
"Delhi","Bangalore","0.0278581"
"Delhi","Ho-Chi-Minh-City","0.0135315"
"Delhi","Tehran","0.0192897"
"Delhi","Los-Angeles","0.00387797"
"Delhi","Rio-de-Janeiro","0.00353994"
"Delhi","Chengdu","0.0188872"
"Delhi","Baoding","0.0133894"
"Delhi","Chennai","0.0276011"
"Delhi","Lahore","0.10566"
"Delhi","London","0.00739912"
"Delhi","Paris","0.00753792"
"Delhi","Tianjin","0.0128688"
"Delhi","Linyi","0.0125933"
"Delhi","Shijiazhuang","0.013735"
"Delhi","Zhengzhou","0.0141101"
"Delhi","Nanyang","0.0145352"
"Delhi","Hyderabad","0.0380633"
"Delhi","Wuhan","0.0137987"
"Delhi","Handan","0.0137888"
"Delhi","Nagoya","0.00884886"
"Delhi","Weifang","0.0123839"
"Delhi","Lima","0.00297254"
"Delhi","Zhoukou","0.0137572"
"Delhi","Luanda","0.00619411"
"Delhi","Ganzhou","0.0132393"
"Delhi","Tongshan","0.0129298"
"Delhi","Kuala-Lumpur","0.01285"
