"l",Value
"London","11120000"
"Birmingham","1137100"
"Leeds","789194"
"Glasgow","626410"
"Bristol","567111"
"Manchester","547627"
"Sheffield","518090"
"Liverpool","513441"
"Edinburgh","488050"
"Leicester","464395"
"Coventry","362690"
"Caerdydd","361469"
"Belfast","333871"
"Newcastle","300196"
"Bradford","293277"
"Nottingham","289301"
"Ipswich","290000"
"Bolton","285372"
"Sunderland","277417"
"Southampton","271173"
"Plymouth","267918"
"Westminster","255324"
"Kingston-upon-Hull","260200"
"Derby","255394"
"Wolverhampton","250970"
"Stoke-on-Trent","249008"
"Portsmouth","248440"
"Barnsley","245199"
"Abertawe","245508"
"Swindon","222193"
"Luton","213052"
"Northampton","212100"
"Solihull","206674"
"Milton-Keynes","207057"
"Aberdeen","200680"
"Norwich","195971"
"Peterborough","194000"
"Basildon","185900"
"Bournemouth","187503"
"York","181131"
"Warrington","165456"
"Huddersfield","162949"
"Reading","162666"
"Southend","160257"
"Oxford","152000"
"Gloucester","145563"
"West-Bromwich","146386"
"Dundee","148280"
"Poole","144800"
"Newport","145700"
"Birkenhead","142968"
"Blackpool","139305"
"Telford","142723"
"Preston","141801"
"Middlesbrough","140545"
"Sale","134022"
"Brighton","134293"
"High-Wycombe","120256"
"Cambridge","123867"
"Exeter","124180"
"Colchester","121859"
"Gateshead","120046"
"Blackburn","117963"
"Slough","119070"
"Chelmsford","115369"
"Cheltenham","116447"
"Rochdale","110194"
"Rotherham","109691"
"Doncaster","109805"
"Maidstone","107627"
"Basingstoke","107355"
"Worthing","109120"
"Crawley","106597"
"Salford","103886"
"Saint-Helens","102629"
"Worcester","101891"
"Gillingham","104157"
"Eastbourne","101547"
"Wigan","103608"
"Hove","91900"
"Lincoln","97541"
"Rayleigh","95580"
"Hemel-Hempstead","94932"
"Bath","94782"
"Darlington","92363"
"Wimbledon","92765"
"Watford","90301"
"Hastings","91053"
"Nuneaton","86552"
"Stevenage","89663"
"Hartlepool","88855"
"Chester","87507"
"Aylesbury","83407"
"Wakefield","99251"
"Oldham","96555"
"Bedford","92407"
"Southport","91703"
"Halifax","88134"
"Grimsby","88243"
"Derry","85016"
