"ID","t"
"Ind-2",14.1766
"Ind-3",20.1129
"Ind-5",51.939
"Ind-6",39.0875
"Ind-7",33.3877
"Ind-8",40.4879
"Ind-9",43.0442
"Ind-10",54.0924
"Ind-11",21.4979
"Ind-12",19.5558
"Ind-13",16.7028
"Ind-14",23.7986
"Ind-15",59.0967
"Ind-16",46.0287
"Ind-18",48.6138
"Ind-19",55.4635
"Ind-20",36.5563
"Ind-22",44.6079
"Ind-23",38.8834
"Ind-24",67.486
"Ind-25",34.4586
"Ind-26",17.5401
"Ind-27",38.2127
"Ind-28",60.581
"Ind-30",24.5638
"Ind-31",49.1396
"Ind-32",31.2584
"Ind-33",69.9289
"Ind-34",86.4521
"Ind-35",16.5754
"Ind-36",40.43
"Ind-37",13.4087
"Ind-38",24.4879
"Ind-39",18.1452
"Ind-41",74.6754
"Ind-42",37.86
"Ind-44",17.6861
"Ind-45",17.7947
"Ind-46",42.1825
"Ind-47",54.0343
"Ind-48",13.9398
"Ind-49",82.8074
"Ind-50",44.4344
"Ind-52",46.3147
"Ind-54",20.504
"Ind-55",63.8204
"Ind-56",51.3604
"Ind-57",43.9889
"Ind-58",57.881
"Ind-59",78.1278
"Ind-60",26.4519
"Ind-61",27.9614
"Ind-62",42.9371
"Ind-63",15.3514
"Ind-64",45.5432
"Ind-65",9.24543
"Ind-66",36.8846
"Ind-67",54.0172
"Ind-68",47.2959
"Ind-69",24.6969
"Ind-71",42.364
"Ind-72",77.8803
"Ind-73",21.6844
"Ind-74",43.8461
"Ind-75",13.1574
"Ind-76",55.3514
"Ind-77",46.442
"Ind-78",77.3772
"Ind-79",54.0885
"Ind-80",48.0413
"Ind-83",45.2399
"Ind-84",10.1221
"Ind-85",19.0663
"Ind-87",42.628
"Ind-88",28.3387
"Ind-89",64.1704
"Ind-90",42.8999
"Ind-91",12.6268
"Ind-92",19.4776
"Ind-94",44.8002
"Ind-95",62.2983
"Ind-96",82.9923
"Ind-97",19.8094
"Ind-98",43.6793
"Ind-99",8.01676
"Ind-100",23.9857
"Ind-101",45.4816
"Ind-102",47.2588
"Ind-103",32.8857
"Ind-104",49.0021
"Ind-106",15.3422
"Ind-107",37.5015
"Ind-108",20.4416
"Ind-111",23.466
"Ind-112",11.2744
"Ind-113",37.3691
"Ind-114",42.0061
"Ind-116",22.5516
"Ind-117",22.7684
"Ind-118",30.5174
"Ind-119",87.2249
"Ind-120",55.227
"Ind-121",47.2858
"Ind-122",57.6414
"Ind-123",85.2395
"Ind-124",33.8706
"Ind-125",34.561
"Ind-126",68.5146
"Ind-127",6.84957
"Ind-128",21.1526
"Ind-129",44.0171
"Ind-130",33.2354
"Ind-132",58.8885
"Ind-133",8.8922
"Ind-134",81.895
"Ind-135",40.8275
"Ind-136",38.6108
"Ind-137",49.8006
"Ind-138",39.8313
"Ind-139",21.9141
"Ind-140",27.4194
"Ind-141",32.5239
"Ind-142",54.8632
"Ind-143",11.3385
"Ind-144",49.9658
"Ind-145",61.2911
"Ind-146",91.4461
"Ind-147",55.0415
"Ind-148",17.3777
"Ind-149",37.4192
"Ind-150",90.302
"Ind-151",70.0922
"Ind-153",64.4308
"Ind-155",8.93864
"Ind-156",75.7915
"Ind-157",19.0194
"Ind-158",17.9992
"Ind-159",19.976
"Ind-160",32.918
"Ind-161",20.2244
"Ind-162",49.4843
"Ind-163",43.0436
"Ind-164",43.1669
"Ind-165",52.772
"Ind-166",50.3302
"Ind-167",51.2503
"Ind-168",14.193
"Ind-169",38.3492
"Ind-170",52.8192
"Ind-171",43.9525
"Ind-173",40.2765
"Ind-174",38.2519
"Ind-175",63.6916
"Ind-176",26.2541
"Ind-178",84.0261
"Ind-179",47.7697
"Ind-180",26.4294
"Ind-181",24.8371
"Ind-182",43.984
"Ind-183",28.4803
"Ind-184",33.6521
"Ind-185",53.8297
"Ind-186",55.3105
"Ind-187",75.2522
"Ind-188",42.2619
"Ind-189",41.9435
"Ind-191",43.5426
"Ind-192",44.5593
"Ind-193",56.9949
"Ind-194",16.9836
"Ind-195",44.4308
"Ind-196",24.3215
"Ind-197",14.0303
"Ind-198",62.6302
"Ind-199",89.627
"Ind-200",38.9045
