"ID","t"
"Ind-1",7.47526
"Ind-2",20.8758
"Ind-3",27.8086
"Ind-5",62.5684
"Ind-6",47.1738
"Ind-7",41.7408
"Ind-8",46.0657
"Ind-9",48.2193
"Ind-10",63.0011
"Ind-11",26.6782
"Ind-12",29.7283
"Ind-13",22.2435
"Ind-14",31.7257
"Ind-15",64.0344
"Ind-16",56.3444
"Ind-18",57.5372
"Ind-19",65.3095
"Ind-20",41.7482
"Ind-22",56.1868
"Ind-23",44.8505
"Ind-24",74.5108
"Ind-25",42.3498
"Ind-26",22.3771
"Ind-27",50.1092
"Ind-28",67.9997
"Ind-30",28.2943
"Ind-31",60.3118
"Ind-32",36.5295
"Ind-33",77.9376
"Ind-34",93.3257
"Ind-35",27.2505
"Ind-36",45.1254
"Ind-37",22.5853
"Ind-38",29.1977
"Ind-39",26.134
"Ind-41",84.5947
"Ind-42",44.9975
"Ind-44",24.8301
"Ind-45",24.6082
"Ind-46",50.9004
"Ind-47",62.0841
"Ind-48",24.9303
"Ind-49",90.9868
"Ind-50",55.4515
"Ind-52",53.2546
"Ind-54",26.9718
"Ind-55",74.1057
"Ind-56",57.643
"Ind-57",48.5867
"Ind-58",63.8654
"Ind-59",88.2768
"Ind-60",33.0131
"Ind-61",44.5023
"Ind-62",49.8264
"Ind-63",27.6914
"Ind-64",56.7092
"Ind-65",20.0658
"Ind-66",43.9328
"Ind-67",59.6861
"Ind-68",54.9549
"Ind-69",34.5749
"Ind-71",49.1377
"Ind-72",85.1848
"Ind-73",31.8428
"Ind-74",57.8744
"Ind-75",21.8428
"Ind-76",64.2662
"Ind-77",53.8123
"Ind-78",82.6742
"Ind-79",62.1007
"Ind-80",55.6167
"Ind-83",51.8593
"Ind-84",15.8736
"Ind-85",29.734
"Ind-87",53.5819
"Ind-88",40.0417
"Ind-89",75.6322
"Ind-90",48.6983
"Ind-91",22.2967
"Ind-92",22.5629
"Ind-94",51.7558
"Ind-95",67.8563
"Ind-96",87.6091
"Ind-97",27.6171
"Ind-98",50.2921
"Ind-99",15.8565
"Ind-100",29.9352
"Ind-101",53.2983
"Ind-102",56.4467
"Ind-103",45.4489
"Ind-104",57.5711
"Ind-106",22.1824
"Ind-107",48.3975
"Ind-108",29.0754
"Ind-111",34.5597
"Ind-112",19.0519
"Ind-113",45.4643
"Ind-114",50.8206
"Ind-116",29.2221
"Ind-117",33.7178
"Ind-118",37.1629
"Ind-119",92.5774
"Ind-120",64.0639
"Ind-121",50.7078
"Ind-122",66.4178
"Ind-123",95.1661
"Ind-124",41.0231
"Ind-125",44.2497
"Ind-126",74.7901
"Ind-127",15.7475
"Ind-128",29.7585
"Ind-129",52.5506
"Ind-130",39.8716
"Ind-132",71.2627
"Ind-133",17.1128
"Ind-134",89.0497
"Ind-135",48.1734
"Ind-136",46.7172
"Ind-137",60.5942
"Ind-138",50.9897
"Ind-139",28.8027
"Ind-140",37.9534
"Ind-141",36.7485
"Ind-142",58.8159
"Ind-143",17.1701
"Ind-144",55.7972
"Ind-145",70.7438
"Ind-147",61.4676
"Ind-148",29.124
"Ind-149",44.943
"Ind-151",77.0391
"Ind-153",71.4922
"Ind-155",22.8821
"Ind-156",81.1474
"Ind-157",30.4186
"Ind-158",21.8053
"Ind-159",33.5047
"Ind-160",40.249
"Ind-161",31.6185
"Ind-162",56.2307
"Ind-163",54.067
"Ind-164",56.8222
"Ind-165",63.6297
"Ind-166",60.4064
"Ind-167",55.6029
"Ind-168",23.1135
"Ind-169",45.088
"Ind-170",59.1272
"Ind-171",57.2047
"Ind-173",47.0944
"Ind-174",45.5894
"Ind-175",74.4419
"Ind-176",33.0601
"Ind-178",91.1731
"Ind-179",58.6952
"Ind-180",33.8303
"Ind-181",38.4832
"Ind-182",49.5797
"Ind-183",33.267
"Ind-184",39.0868
"Ind-185",58.237
"Ind-186",64.4343
"Ind-187",84.6756
"Ind-188",50.7444
"Ind-189",46.312
"Ind-191",53.3155
"Ind-192",49.5296
"Ind-193",63.6261
"Ind-194",28.6016
"Ind-195",50.8005
"Ind-196",28.4528
"Ind-197",19.7986
"Ind-198",68.1835
"Ind-199",96.7233
"Ind-200",44.4549
