"name","lat","lng"
"farm-1",52.184,-2.7373
"farm-2",51.971,-2.6424
"farm-3",52.821,-0.32584
"farm-4",52.269,-2.9459
"farm-5",50.873,-3.4876
"farm-6",50.932,-3.8149
"farm-7",51.779,0.55478
"farm-8",51.992,-4.9646
"farm-9",52.181,-1.9888
"farm-10",51.079,-0.31168
"farm-11",54.487,-2.9863
"farm-12",52.385,-1.7138
"farm-13",52.087,-2.7118
"farm-14",54.105,-2.4283
"farm-15",57.671,-4.5414
"farm-16",53.388,-4.3976
"farm-17",54.865,-6.2758
"farm-18",53.215,-3.6016
"farm-19",53.141,-0.86446
"farm-20",52.682,1.2101
"farm-21",58.407,-4.4607
"farm-22",52.929,0.96381
"farm-23",51.926,-2.7078
"farm-24",52.242,-2.5612
"farm-25",52.36,1.265
"farm-26",52.439,-1.9203
"farm-27",51.155,0.63375
"farm-28",53.167,-3.5264
"farm-29",52.812,-1.6894
"farm-30",53.071,-0.51387
"farm-31",53.569,-1.3543
"farm-32",52.937,-0.44792
"farm-33",52.246,-2.8661
"farm-34",52.646,1.2707
"farm-35",53.624,-1.4221
"farm-36",56.667,-4.0194
"farm-37",53.795,-0.49359
"farm-38",52.817,-2.4967
"farm-39",51.822,-2.8067
"farm-40",52.022,0.68481
"farm-41",54.519,-5.8438
"farm-42",52.629,-2.5096
"farm-43",51.826,-5.052
"farm-44",52.86,-2.4994
"farm-45",52.105,-2.8464
"farm-46",51.04,-0.3783
"farm-47",52.627,0.07791
"farm-48",53.205,-0.24805
"farm-49",52.283,-1.6673
"farm-50",51.054,-0.24897
"farm-51",52.369,-0.8784
"farm-52",51.782,0.40038
"farm-53",51.951,-2.6666
"farm-54",52.928,0.84984
"farm-55",52.152,-1.0021
"farm-56",52.242,-2.7449
"farm-57",54.768,-2.9796
"farm-58",52.858,-2.2299
"farm-59",52.785,1.3504
"farm-60",52.636,0.83531
"farm-61",52.618,0.88982
"farm-62",53.821,-0.45191
"farm-63",51.766,-2.9197
"farm-64",57.621,-2.0273
"farm-65",53.383,-0.35608
"farm-66",52.839,1.3875
"farm-67",56.112,-3.9263
"farm-68",57.328,-2.7573
"farm-69",52.547,1.6733
"farm-70",51.803,-0.057911
"farm-71",52.828,-2.6717
"farm-72",51.1,-3.0393
"farm-73",52.611,0.9693
"farm-74",53.681,-0.46662
"farm-75",53.101,0.10194
"farm-76",53.277,0.031675
"farm-77",50.547,-4.5151
"farm-78",52.327,-2.6156
"farm-79",52.277,-2.6563
"farm-80",52.828,0.73306
"farm-81",51.424,-2.0231
"farm-82",52.934,-2.5486
"farm-83",53.42,-0.97224
"farm-84",51.013,-1.3665
"farm-85",52.227,-0.35466
"farm-86",52.57,-2.7118
"farm-87",53.64,-0.7189
"farm-88",55.751,-3.1739
"farm-89",52.283,-2.6729
"farm-90",57.543,-1.9998
"farm-91",52.345,1.1071
"farm-92",53.615,-0.4624
"farm-93",50.924,-3.3012
"farm-94",51.946,-3.0466
"farm-95",53.22,-0.85535
"farm-96",55.769,-3.119
"farm-97",52.342,-2.8453
"farm-98",53.028,-0.4631
"farm-99",52.533,0.4432
"farm-100",55.906,-3.3163
"farm-101",52.95,-0.55143
"farm-102",52.535,0.84934
"farm-103",55.767,-3.3008
"farm-104",52.499,0.83829
"farm-105",54.115,-1.0539
"farm-106",56.251,-3.1181
"farm-107",51.45,-1.8864
"farm-108",51.983,-2.8497
"farm-109",50.158,-5.3468
"farm-110",56.33,-6.0021
"farm-111",54.33,-1.4961
"farm-112",52.536,-0.75589
"farm-113",51.86,-2.9593
"farm-114",52.628,0.89299
"farm-115",54.134,-6.0605
"farm-116",53.817,-2.599
"farm-117",52.636,1.4904
"farm-118",51.027,-2.4434
"farm-119",53.917,-2.6741
"farm-120",53.248,-0.14451
"farm-121",55.853,-2.9618
"farm-122",53.696,-0.17409
"farm-123",53.001,-2.6161
"farm-124",55.682,-4.8325
"farm-125",52.417,-0.012828
"farm-126",55.889,-3.5197
"farm-127",53.089,-1.888
"farm-128",53.227,-0.49145
"farm-129",52.999,-2.8119
"farm-130",55.905,-3.4659
"farm-131",50.835,-3.6359
"farm-132",53.869,-2.4792
"farm-133",51.988,-2.6816
"farm-134",52.921,-1.7989
"farm-135",52.705,0.12742
