State,"β","μ"
0,0.00397943,0.107438
10,0.00399435,0.10543
20,0.00444311,0.105175
30,0.00393236,0.111005
40,0.00405377,0.117874
50,0.00354291,0.119157
60,0.00338678,0.107481
70,0.00408168,0.105119
80,0.00408087,0.116345
90,0.00292826,0.126172
100,0.00357591,0.113631
110,0.0032771,0.119038
120,0.00355445,0.113116
130,0.00355245,0.109635
140,0.00364952,0.127113
150,0.00365826,0.124368
160,0.0035386,0.131118
170,0.00324912,0.127443
180,0.00344097,0.122956
190,0.00333249,0.126376
200,0.0036223,0.10564
210,0.00425528,0.111352
220,0.00341963,0.108272
230,0.00391842,0.10287
240,0.00342739,0.103239
250,0.00388509,0.102259
260,0.00284675,0.0997245
270,0.00349901,0.0964683
280,0.00316743,0.0998476
290,0.00386234,0.110178
300,0.00384397,0.112969
310,0.00408191,0.116076
320,0.00448504,0.114947
330,0.00382051,0.110673
340,0.00441157,0.123096
350,0.00367186,0.118884
360,0.00372734,0.123441
370,0.00382157,0.128128
380,0.004115,0.138392
390,0.00344521,0.138773
400,0.00347026,0.13374
410,0.00351839,0.135107
420,0.00433243,0.122575
430,0.00390175,0.120381
440,0.00356011,0.108751
450,0.00378526,0.114377
460,0.00380828,0.116685
470,0.00382201,0.132244
480,0.00425156,0.130715
490,0.00399088,0.124205
500,0.00349603,0.125677
510,0.00336981,0.136695
520,0.00417422,0.13509
530,0.00380754,0.137435
540,0.00349193,0.136513
550,0.00411703,0.116827
560,0.00366294,0.117945
570,0.00380149,0.120135
580,0.00356134,0.109325
590,0.00387456,0.113674
600,0.00413606,0.117107
610,0.00395321,0.109652
620,0.00401374,0.111484
630,0.00326374,0.112509
640,0.00365969,0.114107
650,0.00344661,0.115932
660,0.00384457,0.0989925
670,0.00355374,0.0984463
680,0.00370353,0.0909713
690,0.00362307,0.102631
700,0.00333241,0.114101
710,0.00308146,0.111022
720,0.00385544,0.113249
730,0.00405693,0.110042
740,0.00320865,0.0969064
750,0.00346953,0.102675
760,0.00344477,0.105396
770,0.0030833,0.111879
780,0.00365115,0.11528
790,0.00349539,0.130123
800,0.00370486,0.13162
810,0.0038875,0.120156
820,0.00377548,0.110087
830,0.00368248,0.103126
840,0.00414474,0.097924
850,0.00331678,0.117519
860,0.00434495,0.126266
870,0.00345118,0.132284
880,0.00364854,0.130066
890,0.00353366,0.118052
900,0.00403643,0.129818
910,0.00412143,0.121667
920,0.00371266,0.124018
930,0.00364341,0.11925
940,0.00346128,0.124471
950,0.0028362,0.118966
960,0.00360377,0.114601
970,0.0037218,0.0990065
980,0.00369247,0.0947915
990,0.00383756,0.0833003
