State,"β","μ"
0,0.00391451,0.100749
10,0.00361054,0.0988798
20,0.00401666,0.0932791
30,0.0034956,0.0960902
40,0.00341767,0.102484
50,0.00304212,0.103679
60,0.0030707,0.0928106
70,0.00333295,0.0857922
80,0.00354045,0.0946539
90,0.00287541,0.0988536
100,0.00287913,0.0861894
110,0.00292745,0.0912217
120,0.00322109,0.0857098
130,0.00318707,0.079301
140,0.00329559,0.0955704
150,0.00310869,0.0930147
160,0.00347969,0.0999602
170,0.00299274,0.0937022
180,0.00335471,0.0910496
190,0.00298637,0.0977905
200,0.00332571,0.0808183
210,0.0038553,0.0832308
220,0.00316697,0.0803638
230,0.00389461,0.0790589
240,0.0030924,0.0786353
250,0.0030221,0.0787691
260,0.00288216,0.0783828
270,0.00346611,0.0776911
280,0.00273067,0.0774865
290,0.00351129,0.0814517
300,0.00369628,0.0835678
310,0.00390184,0.0884152
320,0.00346167,0.0922974
330,0.00290862,0.08604
340,0.00350219,0.0998467
350,0.0031546,0.0960743
360,0.00330759,0.100316
370,0.00340372,0.0983674
380,0.0036276,0.102135
390,0.00296841,0.103957
400,0.00330291,0.0997848
410,0.00300666,0.0945617
420,0.00327264,0.0831361
430,0.00365377,0.0870897
440,0.00305408,0.0870709
450,0.00286954,0.0878376
460,0.0035659,0.0899856
470,0.00334777,0.0961513
480,0.00378598,0.0927997
490,0.00363195,0.0867397
500,0.00312711,0.0906338
510,0.00263742,0.0953144
520,0.00353606,0.0938202
530,0.00389477,0.0987007
540,0.00327319,0.0904982
550,0.00338255,0.0814563
560,0.00311693,0.0906649
570,0.00301267,0.099309
580,0.003261,0.0876704
590,0.00327417,0.0903015
600,0.0033049,0.0980238
610,0.00315577,0.0899312
620,0.00335546,0.0855342
630,0.0025154,0.086489
640,0.00343187,0.0854022
650,0.00312295,0.0836027
660,0.00305366,0.0783504
670,0.00311783,0.0735102
680,0.00304942,0.0753162
690,0.00286967,0.0861699
700,0.00315082,0.0920228
710,0.00216437,0.0857914
720,0.00322808,0.0878637
730,0.00371263,0.0848791
740,0.00284724,0.0770449
750,0.00326681,0.085451
760,0.00309465,0.0931098
770,0.00295355,0.0991445
780,0.00342718,0.102311
790,0.00297815,0.105804
800,0.00332717,0.105136
810,0.00334146,0.0933868
820,0.00349567,0.0795754
830,0.00337335,0.0769221
840,0.00368303,0.0734561
850,0.0031435,0.0916957
860,0.00357608,0.0998385
870,0.00326694,0.100519
880,0.00344719,0.0934403
890,0.00273065,0.0858495
900,0.00337291,0.0968016
910,0.00331674,0.0932162
920,0.00289972,0.0954049
930,0.00319376,0.0983541
940,0.00315576,0.09409
950,0.00290016,0.0880803
960,0.00345233,0.0840171
970,0.00304668,0.0759475
980,0.00319239,0.0755205
990,0.00332962,0.0659977
