"ID","t","DS"
"Ind. 0","start","S"
"Ind. 1","start","S"
"Ind. 2","start","S"
"Ind. 3","start","S"
"Ind. 4","start","S"
"Ind. 5","start","S"
"Ind. 6","start","S"
"Ind. 7","start","S"
"Ind. 8","start","S"
"Ind. 9","start","S"
"Ind. 10","start","S"
"Ind. 11","start","S"
"Ind. 12","start","S"
"Ind. 13","start","S"
"Ind. 14","start","S"
"Ind. 15","start","S"
"Ind. 16","start","S"
"Ind. 17","start","S"
"Ind. 18","start","S"
"Ind. 19","start","S"
"Ind. 20","start","S"
"Ind. 21","start","S"
"Ind. 22","start","S"
"Ind. 23","start","S"
"Ind. 24","start","S"
"Ind. 25","start","S"
"Ind. 26","start","S"
"Ind. 27","start","S"
"Ind. 28","start","S"
"Ind. 29","start","S"
"Ind. 30","start","S"
"Ind. 31","start","S"
"Ind. 32","start","S"
"Ind. 33","start","S"
"Ind. 34","start","S"
"Ind. 35","start","S"
"Ind. 36","start","S"
"Ind. 37","start","S"
"Ind. 38","start","S"
"Ind. 39","start","S"
"Ind. 40","start","S"
"Ind. 41","start","S"
"Ind. 42","start","S"
"Ind. 43","start","S"
"Ind. 44","start","S"
"Ind. 45","start","S"
"Ind. 46","start","S"
"Ind. 47","start","S"
"Ind. 48","start","S"
"Ind. 49","start","S"
"Ind. 50","start","S"
"Ind. 51","start","S"
"Ind. 52","start","S"
"Ind. 53","start","S"
"Ind. 54","start","S"
"Ind. 55","start","S"
"Ind. 56","start","S"
"Ind. 57","start","S"
"Ind. 58","start","S"
"Ind. 59","start","S"
"Ind. 60","start","S"
"Ind. 61","start","S"
"Ind. 62","start","S"
"Ind. 63","start","S"
"Ind. 64","start","S"
"Ind. 65","start","S"
"Ind. 66","start","S"
"Ind. 67","start","S"
"Ind. 68","start","S"
"Ind. 69","start","S"
"Ind. 70","start","S"
"Ind. 71","start","S"
"Ind. 72","start","S"
"Ind. 73","start","S"
"Ind. 74","start","S"
"Ind. 75","start","S"
"Ind. 76","start","S"
"Ind. 77","start","S"
"Ind. 78","start","S"
"Ind. 79","start","S"
"Ind. 80","start","S"
"Ind. 81","start","S"
"Ind. 82","start","S"
"Ind. 83","start","S"
"Ind. 84","start","S"
"Ind. 85","start","S"
"Ind. 86","start","S"
"Ind. 87","start","S"
"Ind. 88","start","S"
"Ind. 89","start","S"
"Ind. 90","start","S"
"Ind. 91","start","S"
"Ind. 92","start","S"
"Ind. 93","start","S"
"Ind. 94","start","S"
"Ind. 95","start","S"
"Ind. 96","start","S"
"Ind. 97","start","S"
"Ind. 98","start","I"
"Ind. 99","start","I"
