
description text="
This example is taken from epidemiology. The model describes how infection spreads in a population.
The model assumes that individuals can be classified as susceptible 'S', infected 'I' or recovered 'R'. 
Transitions in state occur when individuals become infected or recover (the rate at which these occur is characterised by the model parameters β and γ). 
Here the data for inference consists of the infection and recovery times of indivduals.
The posterior distribution for the basic reproductive ratio R_0 is derived from the model parameters.
"

# Defines the model

compartment classification="DS" name = "S" x="0" y="1" color="#00ff00"
compartment classification="DS" name = "I" x="1" y="1" color="#ff0000"
compartment classification="DS" name = "R" x="2" y="1" color="#0000ff"

transition from="S" to="I" type='exponential' rate='[β]*{I}'
transition from="I" to="R" type='exponential' rate='[γ]'

# Defines parameters used for simulation

siminitpopulation S="100" I="1" R="0" 
setparam param="β" value="0.003"
setparam param="γ" value="0.1"

# Defines priors

setprior param="β" prior="flat" min="0" max="1"
setprior param="γ" prior="flat" min="0" max="1"

# The data

data type="transition" name="S->I" from='S' to="I" min="0" max="100" table="
Ind. 2	18.3949
Ind. 3	30.0119
Ind. 5	34.9687
Ind. 6	15.5631
Ind. 7	62.2245
Ind. 8	24.1575
Ind. 9	19.9011
Ind. 11	11.2259
Ind. 12	14.489
Ind. 14	10.7968
Ind. 15	20.4721
Ind. 16	36.1733
Ind. 17	20.0615
Ind. 18	20.1928
Ind. 19	21.0302
Ind. 20	44.2962
Ind. 21	12.7398
Ind. 22	12.1362
Ind. 23	7.13206
Ind. 24	10.5034
Ind. 25	21.5584
Ind. 26	12.4086
Ind. 27	31.7671
Ind. 28	5.77738
Ind. 29	28.4032
Ind. 31	8.19632
Ind. 32	21.5369
Ind. 33	7.03701
Ind. 34	13.4496
Ind. 35	8.37639
Ind. 36	11.9641
Ind. 37	39.4643
Ind. 38	9.42695
Ind. 40	19.6719
Ind. 41	28.15
Ind. 42	41.158
Ind. 43	25.551
Ind. 44	24.1036
Ind. 45	14.9638
Ind. 46	9.12085
Ind. 47	26.8269
Ind. 48	20.0893
Ind. 49	22.8725
Ind. 50	18.0601
Ind. 51	35.1817
Ind. 52	27.3895
Ind. 54	18.4931
Ind. 55	23.0271
Ind. 56	46.015
Ind. 57	9.09873
Ind. 58	13.732
Ind. 59	5.1348
Ind. 60	9.78284
Ind. 61	23.3029
Ind. 62	30.3317
Ind. 63	11.939
Ind. 64	11.3824
Ind. 66	1.43091
Ind. 67	37.5566
Ind. 68	20.1264
Ind. 69	24.9571
Ind. 70	16.5878
Ind. 71	21.3114
Ind. 72	54.5491
Ind. 73	29.2145
Ind. 74	6.02055
Ind. 75	45.1988
Ind. 76	32.3702
Ind. 77	10.187
Ind. 78	7.47212
Ind. 79	18.0109
Ind. 80	31.2984
Ind. 81	16.6132
Ind. 82	32.8217
Ind. 83	20.5285
Ind. 84	5.14719
Ind. 85	14.828
Ind. 86	14.4445
Ind. 87	37.1607
Ind. 88	26.4585
Ind. 89	13.8992
Ind. 90	25.3715
Ind. 91	33.224
Ind. 92	22.9664
Ind. 93	21.6412
Ind. 94	18.6652
Ind. 95	15.2422
Ind. 96	5.04555
Ind. 97	16.6533
Ind. 98	26.0183
Ind. 99	18.103
Ind. 100	18.8823
Ind. 101	31.0381
"

data type="transition" name="I->R" from='I' to="R" min="0" max="100" table="
Ind. 1	24.7636
Ind. 2	25.8068
Ind. 3	61.0266
Ind. 5	52.1217
Ind. 6	19.1397
Ind. 7	64.0337
Ind. 8	27.7056
Ind. 9	25.8635
Ind. 11	12.6562
Ind. 12	20.8968
Ind. 14	19.0553
Ind. 15	20.4824
Ind. 16	39.0039
Ind. 17	25.2266
Ind. 18	25.796
Ind. 19	40.4282
Ind. 20	53.9994
Ind. 21	19.2713
Ind. 22	22.0049
Ind. 23	47.5652
Ind. 24	12.7171
Ind. 25	24.9573
Ind. 26	35.3943
Ind. 27	36.8899
Ind. 28	7.77253
Ind. 29	29.5573
Ind. 31	42.8135
Ind. 32	27.0331
Ind. 33	22.3258
Ind. 34	41.7932
Ind. 35	12.2133
Ind. 36	13.3678
Ind. 37	40.1414
Ind. 38	44.3373
Ind. 40	22.4407
Ind. 41	30.8592
Ind. 42	46.9313
Ind. 43	37.973
Ind. 44	24.9577
Ind. 45	33.6541
Ind. 46	12.0555
Ind. 47	28.4491
Ind. 48	46.9865
Ind. 49	23.641
Ind. 50	32.2753
Ind. 51	39.1409
Ind. 52	50.0296
Ind. 54	24.3982
Ind. 55	58.9905
Ind. 56	46.4776
Ind. 57	17.1485
Ind. 58	20.9149
Ind. 59	16.9224
Ind. 60	21.8313
Ind. 61	28.5347
Ind. 62	33.688
Ind. 63	16.6418
Ind. 64	19.3758
Ind. 66	7.50942
Ind. 67	52.563
Ind. 68	21.3582
Ind. 69	36.4124
Ind. 70	21.7777
Ind. 71	31.7789
Ind. 72	67.719
Ind. 73	36.3284
Ind. 74	11.4459
Ind. 75	53.4121
Ind. 76	36.2825
Ind. 77	24.779
Ind. 78	8.6167
Ind. 79	25.1553
Ind. 80	90.8684
Ind. 81	17.881
Ind. 82	46.7154
Ind. 83	26.9034
Ind. 84	5.97372
Ind. 85	24.9798
Ind. 86	17.5014
Ind. 87	56.3999
Ind. 88	34.0413
Ind. 89	40.8494
Ind. 90	43.8718
Ind. 91	45.9116
Ind. 92	27.5948
Ind. 93	26.7966
Ind. 94	19.5444
Ind. 95	27.397
Ind. 96	9.44638
Ind. 97	26.7504
Ind. 98	55.4864
Ind. 99	66.6177
Ind. 100	28.0954
Ind. 101	33.1863
"


